Core,Age,Oxygen,delW,sea_level,age_ka,sea_level_smooth
Vema 1930,0,2.87,0.14,-10.86,980,-33
Vema 1930,1.31,2.84,0.11,-8.46,1000,-32.2
Vema 1930,2.84,2.67,-0.06,5.14,1020,-31.5
Vema 1930,3.57,2.79,0.06,-4.46,1040,-30.8
Vema 1930,4.31,2.63,-0.1,8.34,1060,-30.1
Vema 1930,5.45,2.76,0.03,-2.06,1080,-29.4
Vema 1930,6.13,2.75,0.02,-1.26,1100,-28.7
Vema 1930,6.77,2.65,-0.08,6.74,1120,-28
Vema 1930,7.71,2.92,0.19,-14.86,1140,-27.3
Vema 1930,8.9,2.92,0.19,-14.86,1160,-26.6
Vema 1930,9.48,2.88,0.15,-11.66,1180,-25.9
Vema 1930,10.03,2.89,0.16,-12.46,1200,-25.3
Vema 1930,10.55,2.82,0.09,-6.86,1220,-24.8
Vema 1930,10.98,2.84,0.11,-8.46,1240,-24.4
Vema 1930,11.5,2.82,0.09,-6.86,1260,-24.1
Vema 1930,11.88,3.21,0.48,-38.06,1280,-23.8
Vema 1930,12.26,3.05,0.32,-25.26,1300,-23.6
Vema 1930,12.6,3.23,0.5,-39.66,1320,-23.3
Vema 1930,12.92,2.78,0.05,-3.66,1340,-23.1
Vema 1930,13.24,3.34,0.61,-48.46,1360,-22.9
Vema 1930,13.54,3.26,0.23,-18.03,1380,-22.7
Vema 1930,13.84,3.23,0.2,-15.63,1400,-22.6
Vema 1930,14.13,3.25,0.22,-17.23,1420,-22.5
Vema 1930,14.43,3.74,0.71,-56.43,1440,-22.5
Vema 1930,14.73,3.46,0.43,-34.03,1460,-22.7
Vema 1930,15.02,3.61,0.58,-46.03,1480,-22.9
Vema 1930,15.31,3.52,0.49,-38.83,1500,-23.2
Vema 1930,15.59,3.8,0.77,-61.23,1520,-23.5
Vema 1930,15.88,4.09,1.06,-84.43,1540,-23.8
Vema 1930,16.16,4,0.97,-77.23,1560,-24
Vema 1930,16.54,4.2,1.17,-93.23,1580,-24.2
Vema 1930,16.83,4.27,1.24,-98.83,1600,-24.2
Vema 1930,17.11,4.28,1.25,-99.63,1620,-24.2
Vema 1930,17.39,4.19,1.16,-92.43,1640,-24.1
Vema 1930,17.67,4.15,1.12,-89.23,1660,-24
Vema 1930,17.95,4.58,1.55,-123.63,1680,-23.8
Vema 1930,18.23,4.56,1.53,-122.03,1700,-23.6
Vema 1930,18.5,4.44,1.41,-112.43,1720,-23.4
Vema 1930,18.76,4.35,1.32,-105.23,1740,-23.2
Vema 1930,19.03,4.51,1.48,-118.03,1760,-22.9
Vema 1930,19.26,4.49,1.46,-116.43,1780,-22.7
Vema 1930,19.53,4.36,1.33,-106.03,1800,-22.5
Vema 1930,19.77,4.34,1.31,-104.43,1820,-22.3
Vema 1930,20,4.23,1.2,-95.63,1840,-22
Vema 1930,20.24,4.48,1.45,-115.63,1860,-21.7
Vema 1930,20.47,4.5,1.47,-117.23,1880,-21.4
Vema 1930,20.84,4.32,1.29,-102.83,1900,-21.2
Vema 1930,21.13,4.31,1.28,-102.03,1920,-21
Vema 1930,21.34,4.43,1.4,-111.63,1940,-21
Vema 1930,21.55,4.46,1.43,-114.03,1960,-21.1
Vema 1930,21.76,4.25,1.22,-97.23,1980,-21.3
Vema 1930,21.96,4.41,1.38,-110.03,2000,-21.7
Vema 1930,22.17,4.35,1.32,-105.23,2020,-22.2
Vema 1930,22.37,4.36,1.33,-106.03,2040,-22.7
Vema 1930,22.57,4.25,1.22,-97.23,2060,-23.3
Vema 1930,22.77,4.25,1.22,-97.23,2080,-23.7
Vema 1930,22.97,4.32,1.29,-102.83,2100,-24
Vema 1930,23.17,4.32,1.29,-102.83,2120,-24.2
Vema 1930,23.37,4.34,1.31,-104.43,2140,-24.1
Vema 1930,23.57,4.29,1.26,-100.43,2160,-23.8
Vema 1930,23.77,4.29,1.26,-100.43,2180,-23.4
Vema 1930,23.97,4.48,1.45,-115.63,2200,-22.8
Vema 1930,24.17,4.32,1.29,-102.83,2220,-22
Vema 1930,24.37,4.33,1.3,-103.63,2240,-21.3
Vema 1930,24.58,4.3,1.27,-101.23,2260,-20.5
Vema 1930,24.79,4.23,1.2,-95.63,2280,-19.9
Vema 1930,25,4.32,1.29,-102.83,2300,-19.3
Vema 1930,25.22,4.41,1.38,-110.03,2320,-18.9
Vema 1930,25.45,4.27,1.24,-98.83,2340,-18.6
Vema 1930,25.67,4.14,1.11,-88.43,2360,-18.6
Vema 1930,25.9,4.28,1.25,-99.63,2380,-18.7
Vema 1930,26.14,4.42,1.39,-110.83,2400,-19
Vema 1930,26.37,4.28,1.25,-99.63,2420,-19.4
Vema 1930,26.62,4.19,1.16,-92.43,2440,-19.8
Vema 1930,26.88,4.12,1.09,-86.83,2460,-20.2
Vema 1930,27.13,4.17,1.14,-90.83,2480,-20.4
Vema 1930,27.4,4.17,1.14,-90.83,2500,-20.5
Vema 1930,27.68,4.23,1.2,-95.63,2520,-20.3
Vema 1930,27.95,4.12,1.09,-86.83,2540,-20
