Tuned time [Ma],Foram bent [#] (ISOBENbinned_d13Ccount),Foram bent δ13C [‰ PDB] (ISOBENbinned_d13C),13C_binned_interp,Foram bent [#] (ISOBENbinned_d18Ocount),Foram bent δ18O [‰ PDB] (ISOBENbinned_d18O),18O_binned_interp,13C_LOESSsmooth,18O_LOESSsmooth,Comment (error),13C_LOESSsmoothLongTerm),18O_LOESSsmoothLongTerm,Comment (ISOBENLOESSsmooth_pts)
0,1,-0.8,-0.8,1,3.52,3.52,-0.496,3.498,10pts smooth,-0.60621887,4.6201019,500pts smooth
0.002,1,0.43,0.43,1,3.57,3.57,-0.277,3.523,10pts smooth,-0.60559893,4.6183863,500pts smooth
0.004,2,-0.645,-0.645,2,3.535,3.535,-0.201,3.65,10pts smooth,-0.60497904,4.6166787,500pts smooth
0.006,3,0.047,0.047,3,3.807,3.807,-0.264,3.877,10pts smooth,-0.60435915,4.6149797,500pts smooth
0.008,3,-0.313,-0.313,3,3.96,3.96,-0.41,4.18,10pts smooth,-0.60373908,4.6132889,500pts smooth
0.01,2,-0.805,-0.805,2,4.925,4.925,-0.595,4.6,10pts smooth,-0.60311878,4.6116071,500pts smooth
0.012,2,-0.695,-0.695,2,4.82,4.82,-0.759,4.994,10pts smooth,-0.60249817,4.6099334,500pts smooth
0.014,3,-0.94,-0.94,3,5.353,5.353,-0.8,5.206,10pts smooth,-0.60187709,4.6082687,500pts smooth
0.016,3,-0.703,-0.703,3,5.33,5.33,-0.792,5.312,10pts smooth,-0.60125542,4.6066127,500pts smooth
0.018,3,-0.777,-0.777,3,5.277,5.277,-0.767,5.28,10pts smooth,-0.60063314,4.6049647,500pts smooth
0.02,4,-0.665,-0.665,4,5.165,5.165,-0.729,5.19,10pts smooth,-0.6000101,4.6033258,500pts smooth
0.022,2,-0.745,-0.745,2,5.05,5.05,-0.703,5.094,10pts smooth,-0.59938616,4.6016955,500pts smooth
0.024,3,-0.733,-0.733,3,5.023,5.023,-0.672,5.001,10pts smooth,-0.59876126,4.6000738,500pts smooth
0.026,4,-0.52,-0.52,4,4.923,4.923,-0.614,4.964,10pts smooth,-0.59813535,4.5984612,500pts smooth
0.028,2,-0.615,-0.615,2,4.93,4.93,-0.549,4.938,10pts smooth,-0.59750825,4.5968571,500pts smooth
0.03,2,-0.475,-0.475,2,4.975,4.975,-0.482,4.903,10pts smooth,-0.59687984,4.5952621,500pts smooth
0.032,4,-0.425,-0.425,4,4.832,4.832,-0.437,4.867,10pts smooth,-0.59625012,4.5936756,500pts smooth
0.034,4,-0.375,-0.375,4,4.837,4.837,-0.451,4.817,10pts smooth,-0.59561884,4.5920982,500pts smooth
0.036,2,-0.455,-0.455,2,4.735,4.735,-0.47,4.772,10pts smooth,-0.59498608,4.5905294,500pts smooth
0.038,2,-0.67,-0.67,2,4.755,4.755,-0.479,4.762,10pts smooth,-0.59435159,4.5889697,500pts smooth
0.04,3,-0.363,-0.363,3,4.76,4.76,-0.461,4.752,10pts smooth,-0.59371531,4.587419,500pts smooth
0.042,4,-0.352,-0.352,4,4.81,4.81,-0.432,4.747,10pts smooth,-0.59307712,4.5858769,500pts smooth
0.044,4,-0.485,-0.485,4,4.675,4.675,-0.393,4.736,10pts smooth,-0.59243697,4.5843444,500pts smooth
0.046,4,-0.325,-0.325,4,4.722,4.722,-0.359,4.725,10pts smooth,-0.59179473,4.5828204,500pts smooth
0.048,2,-0.425,-0.425,2,4.73,4.73,-0.321,4.719,10pts smooth,-0.59115028,4.581306,500pts smooth
0.05,3,-0.143,-0.143,3,4.73,4.73,-0.303,4.714,10pts smooth,-0.59050357,4.5798001,500pts smooth
0.052,4,-0.443,-0.443,4,4.73,4.73,-0.341,4.694,10pts smooth,-0.58985442,4.5783038,500pts smooth
0.054,4,-0.335,-0.335,4,4.628,4.628,-0.424,4.686,10pts smooth,-0.58920276,4.5768166,500pts smooth
0.056,3,-0.627,-0.627,3,4.72,4.72,-0.593,4.72,10pts smooth,-0.58854854,4.5753384,500pts smooth
