Name,Height,TIMS_age,TIMS_error,LAICP_age,LAICP_error,Corr_Age,Corr_error
EA1902-16.6,289,10.572,0.111,,,,
EA1902-11.73,283.4,11.808,0.063,,,,
EA1902-12.34,284,,,11.34,0.23,,
EA1902-12.0,283.7,,,11.33,0.23,,
EA1902-11.5,283.2,,,11.59,0.23,,
EA1902-9.2,280.9,,,13.07,0.26,,
F1916_24.9,211,,,14.32,0.29,,
M1806,139,,,17.42,0.35,,
M1805,54,,,17.53,0.35,,
M1808,0,,,18.14,0.36,,
M1804_6.5,10.5,,,18.19,0.36,,
EAGC2006,253,,,,,13.907,0.044
EAGC2008,230,,,,,14.297,0.019
F1917_33.7,201,,,,,15.498,0.026
F1917_0.7,163,,,,,17.276,0.028
