number,name,38_06Age,38-06error,B_age,B_age+,B_age-,LA_age,LA_error
1,,,,,,,,
2,EAGC2010,,,,,,,
3,M34_EA  ,11.1192,0.8655,11.316,0.062,0.153,11.109,0.22
4,M17_EA  ,11.2678,0.1213,11.316,0.062,0.153,11.109,0.22
5,M14_EA  ,11.3647,0.0443,11.316,0.062,0.153,11.109,0.22
6,M41_EA  ,11.3725,0.2470,11.316,0.062,0.153,11.109,0.22
7,M13_EA  ,11.4635,0.1768,11.316,0.062,0.153,11.109,0.22
8,,,,,,,,
9,EAGC2011,,,,,,,
10,M60_EA  ,12.5768,0.0270,12.571,0.033,0.055,12.34,0.25
11,M10_EA  ,12.5927,0.0911,12.571,0.033,0.055,12.34,0.25
12,L6_EA   ,12.6230,0.0219,12.571,0.033,0.055,12.34,0.25
13,L10_EA  ,12.6272,0.0216,12.571,0.033,0.055,12.34,0.25
14,L14_EA  ,12.6532,0.0328,12.571,0.033,0.055,12.34,0.25
15,L16_EA  ,12.6560,0.0238,12.571,0.033,0.055,12.34,0.25
16,,,,,,,,
17,EAGC2012,,,,,,,
18,M49_EA  ,12.4978,0.0255,12.488,0.024,0.047,12.31,0.25
19,M17_EA  ,12.5072,0.0214,12.488,0.024,0.047,12.31,0.25
20,M06_EA  ,12.5093,0.0398,12.488,0.024,0.047,12.31,0.25
21,M51_EA  ,12.5478,0.0488,12.488,0.024,0.047,12.31,0.25
22,M15_EA  ,12.5642,0.0341,12.488,0.024,0.047,12.31,0.25
23,M02_EA  ,12.5697,0.0309,12.488,0.024,0.047,12.31,0.25
24,,,,,,,,
25,EAGC2003 MDA,,,,,,,
26,M11_EA  ,12.9494,0.5570,13.255,0.071,0.071,13.03,0.26
27,M04_EA  ,13.2546,0.0708,13.255,0.071,0.071,13.03,0.26
28,M21_EA  ,13.4102,0.0416,13.255,0.071,0.071,13.03,0.26
29,M01_EA  ,13.8661,0.0197,13.255,0.071,0.071,13.03,0.26
30,M09_EA  ,15.6011,0.3701,13.255,0.071,0.071,13.03,0.26
31,,,,,,,,
32,EAGC2006,,,,,,,
33,M1_EA   ,13.8995,0.0997,13.907,0.036,0.073,13.75,0.28
34,M8_EA   ,13.9042,0.0438,13.907,0.036,0.073,13.75,0.28
35,M7_EA   ,13.9427,0.0538,13.907,0.036,0.073,13.75,0.28
36,M29_EA  ,13.9723,0.0615,13.907,0.036,0.073,13.75,0.28
37,M4_EA   ,14.0352,0.2273,13.907,0.036,0.073,13.75,0.28
38,,,,,,,,
39,EAGC2008,,,,,,,
40,L11_EA  ,14.2978,0.0212,14.297,0.020,0.027,14.11,0.28
