Sample Name,"Height, El Cap section (m)",OrgC,Al_corrected,Al 2σ uncertainty (ppm),Ca_corrected,Ca 2σ uncertainty (ppm),Si_corrected,Si 2σ uncertainty (ppm),Ti_corrected,Ti 2σ uncertainty (ppm)
M1804 0.1,0.1,2.63,37184.7617,6921.748928,119127.7334,1701.15917,234947.4348,12966.98788,2564.920503,198.7761576
M1804 0.75,0.8,1.53,37508.4258,6884.120428,87223.9228,1664.93847,260735.4656,12972.75438,2622.674555,197.2137576
M1804 1.6,1.6,3.67,41646.1172,6936.748528,119762.9159,1699.92087,217206.3611,12953.97108,3179.543568,201.6479576
M1804 2.2,2.2,3,37007.8984,6910.623228,112266.781,1691.15067,221218.3423,12958.02588,2968.787002,200.1269576
M1804 3.6,3.6,1.36,5907.1519,6670.488828,81924.95546,1630.54757,321327.7461,12971.73918,668.9174883,179.9462576
M1804 4.0,4,4.5,6826.3965,6686.924728,90513.42521,1643.32077,313653.9571,12978.12858,678.6585013,181.0083576
M1804 4.5,4.5,1.04,6893.5732,6704.628128,119387.1069,1675.55977,284639.9005,12979.70768,706.7133457,182.4958576
M1804 4.6,4.6,1.35,7655.9854,6692.927128,97123.55941,1645.28627,298441.9002,12972.56308,741.6393047,180.4128576
M1804 4.8,4.8,0.64,19414.3984,6835.868128,212965.7715,1758.06457,187102.1247,12937.06328,1539.124166,194.8953576
M1804 5.1,5.1,1.3,5950.0005,6681.782528,104102.8967,1652.91437,310217.3085,12978.85318,677.7975734,180.6153576
M1804 5.3,5.3,3.32,15560.4316,6787.740628,162498.5067,1717.98337,238417.7042,12965.95868,1266.311296,190.5162576
M1804 5.5,5.5,0.67,5215.2671,6706.275328,153453.4754,1714.34967,247796.1591,12972.72998,634.9456343,184.3734576
M1804 5.65,5.7,3.24,16946.2637,6791.594728,163919.9119,1712.30877,240499.3951,12963.54048,1397.145435,190.1871576
M1804 5.8,5.8,0.55,3207.5789,6683.669728,159504.8728,1715.26317,232562.424,12962.17178,561.9395081,183.1186576
M1804 6.0,6,1.21,16026.3906,6772.578928,128214.5367,1686.54777,279773.2988,12980.66028,1154.894156,187.4190576
M1804 7.1,7.1,1.64,15612.8779,6789.990628,147956.9753,1713.33587,244290.0742,12969.45748,1245.862492,189.4604576
M1804 7.3,7.3,2.2,35825.0078,6915.924628,138572.315,1722.76437,193537.9776,12938.27138,2358.687651,199.2086576
M1804 7.5,7.5,1.71,11355.8281,6706.401228,52474.0581,1596.70747,306105.6614,12960.40988,953.2202343,182.8895576
M1804 7.6,7.6,1.73,38565.0664,6900.767328,108809.9745,1690.77257,223795.7556,12957.02998,2635.361712,199.4636576
M1804 7.8,7.8,1.37,10681.627,6682.713128,27418.79293,1539.85497,355953.0121,12950.02398,863.2052763,179.9519576
M1804 8.1,8.1,5,37676.9648,6901.153928,122637.6137,1699.16507,217838.5355,12954.03918,2634.196841,199.2691576
M1804 8.3,8.3,4.97,13150.7754,6705.576528,47212.21591,1585.42147,332526.9971,12961.69218,1057.867747,182.8326576
M1804 8.4,8.4,4.85,32061.6602,6862.034228,110959.7144,1686.89077,232368.093,12958.20178,2307.798792,198.2273576
M1804 8.5,8.5,1,11773.4541,6692.302728,42483.58275,1576.02297,332143.974,12954.57188,963.3371761,181.4283576
M1804 8.6,8.6,1.71,29331.2344,6845.117628,103999.1414,1672.88537,278972.8868,12981.13708,1898.091425,193.5862576
M1804 8.7,8.7,2.4,28824.1074,6842.358228,99194.95371,1669.23987,297860.2902,12992.89808,1936.603406,194.5942576
